team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
Albus NoX Luna,Vega Squadron,1,"Poppy, Elise, Anivia, Brand, Sivir","Maokai, Kindred, Karma, Caitlyn, Bard",100,2016-06-19,100,
Tornado Rox,Natus Vincere,1,"Swain, Graves, Azir, Ezreal, Braum","Maokai, Olaf, Viktor, Sivir, Karma",100,2016-06-19,200,
Gamibt,Team Just,1,"Maokai, Hecarim, Viktor, Kalista, Brand","Trundle, Graves, Taliyah, Sivir, Zyra",100,2016-06-19,100,
Team Empire,Vaevictis eSports,1,"Irelia, Rek'Sai, Syndra, Tristana, Karma","Trundle, Gragas, Viktor, Ezreal, Bard",200,2016-06-19,200,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
