team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
ROX Tigers,CJ Entus,1,"Vladimir, Kindred, Sivir, Bard, Rumble","Shen, Hecarim, Cassiopeia, Jhin, Nami",200,2016-06-15,200,
CJ Entus,ROX Tigers,2,"Trundle, Elise, Cassiopeia, Jhin, Karma","Rumble, Rek'Sai, Ryze, Ashe, Thresh",200,2016-06-15,200,
ROX Tigers,CJ Entus,3,"Trundle, Rek'Sai, LeBlanc, Jhin, Nami","Gnar, Lucian, Karma, Elise, Varus",100,2016-06-15,200,
Samsung Galaxy,Longzhu,1,"Ekko, Rek'Sai, Ashe, Braum, Viktor","Irelia, Gragas, Ryze, Sivir, Karma",200,2016-06-15,200,
Longzhu,Samsung Galaxy,2,"Irelia, Elise, Vladimir, Sivir, Nami","Trundle, Graves, Anivia, Ashe, Karma",100,2016-06-15,100,
Afreeca Freecs,ESC Ever,1,"Swain, Kindred, Karma, Jhin, Alistar","Ekko, Elise, Varus, Sivir, Nami",200,2016-06-16,200,
ESC Ever,Afreeca Freecs,2,"Fizz, Nidalee, Vladimir, Sivir, Braum","Swain, Kindred, Karma, Lucian, Kassadin",100,2016-06-17,100,
Jin Air Green Wings,SK Telecom T1,1,"Trundle, Elise, Ezreal, Bard, Vladimir","Swain, Rek'Sai, Lulu, Jhin, Nami",100,2016-06-17,200,
SK Telecom T1,Jin Air Green Wings,2,"Trundle, Gragas, Ryze, Ezreal, Nami","Gnar, Elise, Azir, Alistar, Jhin",100,2016-06-17,100,
Jin Air Green Wings,SK Telecom T1,3,"Trundle, Graves, Lissandra, Ezreal, Thresh","Fiora, Elise, LeBlanc, Ashe, Nami",100,2016-06-17,200,
ROX Tigers,Longzhu,1,"Rumble, Lee Sin, Ashe, Karma, Ryze","Gnar, Elise, Vladimir, Lucian, Nami",100,2016-06-17,200,
Longzhu,ROX Tigers,2,"Fiora, Rek'Sai, Ryze, Sivir, Nami","Trundle, Elise, Vladimir, Ashe, Karma",200,2016-06-17,100,
ESC Ever,KT Rolster,1,"Trundle, Rek'Sai, Twisted Fate, Ashe, Bard","Fiora, Elise, Viktor, Ezreal, Braum",200,2016-06-18,200,
KT Rolster,ESC Ever,2,"Trundle, Elise, Lucian, Taric, Viktor","Swain, Graves, Fizz, Sivir, Braum",100,2016-06-18,100,
CJ Entus,Samsung Galaxy,1,"Maokai, Nidalee, Twisted Fate, Twitch, Nami","Irelia, Rek'Sai, Viktor, Sivir, Karma",200,2016-06-18,200,
Samsung Galaxy,CJ Entus,2,"Irelia, Elise, Azir, Kalista, Zyra","Trundle, Kindred, LeBlanc, Sivir, Braum",200,2016-06-18,200,
CJ Entus,Samsung Galaxy,3,"Trundle, Kindred, Viktor, Sivir, Braum","Irelia, Twisted Fate, Karma, Kalista, Alistar",200,2016-06-18,200,
