team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
Team Mist,Midnight Sun Esports,2,"Ekko, Rek'Sai, Lucian, LeBlanc, Karma","Maokai, Elise, Kassadin, Sivir, Nami",200,2016-06-16,200,
Midnight Sun Esports,Team Mist,1,"Trundle, Rek'Sai, Varus, Nami, Sivir","Maokai, Graves, Lucian, Karma, Viktor",100,2016-06-16,200,
Hong Kong Esports,J Team,1,"Irelia, Gragas, Karma, Blitzcrank, Ezreal","Trundle, Elise, Vladimir, Braum, Jhin",200,2016-06-16,200,
J Team,Hong Kong Esports,2,"Trundle, Gragas, Ryze, Sivir, Karma","Irelia, Graves, Jhin, Viktor, Morgana",100,2016-06-16,100,
Ahq e-Sports Club,Midnight Sun Esports,1,"Irelia, Gragas, Twisted Fate, Ashe, Karma","Trundle, Elise, Azir, Ezreal, Nami",100,2016-06-17,100,
Midnight Sun Esports,Ahq e-Sports Club,2,"Ekko, Rek'Sai, Viktor, Ashe, Nami","Trundle, Swain, Gragas, Caitlyn, Karma",200,2016-06-17,200,
Flash Wolves,Team Mist,1,"Maokai, Nidalee, Ryze, Ezreal, Alistar","Fizz, Rek'Sai, Vladimir, Jhin, Bard",100,2016-06-17,200,
Team Mist,Flash Wolves,2,"Trundle, Gragas, Vladimir, Jhin, Karma","Ekko, Anivia, Rek'Sai, Ezreal, Braum",200,2016-06-17,200,
eXtreme Gamers,Machi ESports,1,"Trundle, Elise, Vladimir, Ashe, Karma","Swain, Rek'Sai, Anivia, Sivir, Braum",200,2016-06-18,200,
Machi ESports,eXtreme Gamers,2,"Vladimir, Gragas, Ryze, Jhin, Trundle","Gnar, Rek'Sai, Azir, Ezreal, Braum",100,2016-06-18,100,
 Flash Wolves,Ahq e-Sports Club,1,"Irelia, Graves, Vladimir, Ezreal, Braum","Maokai, Volibear, Cassiopeia, Caitlyn, Karma",100,2016-06-18,100,
Ahq e-Sports Club, Flash Wolves,2,"Irelia, Gragas, Vladimir, Caitlyn, Bard","Maokai, Graves, Anivia, Ezreal, Braum",200,2016-06-18,200,
