team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
Edward Gaming,RNGU,1,"Ekko, Kha'Zix, Ryze, Ashe, Bard","Maokai, Graves, Caitlyn, Viktor, Karma",100,2016-06-16,100,
RNGU,Edward Gaming,2,"Swain, Rek'Sai, Caitlyn, Viktor, Karma","Trundle, Gragas, Azir, Sivir, Nami",100,2016-06-16,100,
Edward Gaming,RNGU,3,"Ekko, Graves, Ryze, Ezreal, Nami","Trundle, Gragas, Braum, Sivir, Viktor",100,2016-06-16,200,
Invictus Gaming,OMG,1,"Taliyah, Trundle, Nidalee, Ezreal, Karma","Maokai, Lee Sin, LeBlanc, Braum, Sivir",200,2016-06-16,200,
OMG,Invictus Gaming,2,"Maokai, Kindred, Azir, Jhin, Braum","Ekko, Elise, Varus, Ashe, Karma",200,2016-06-16,200,
Invictus Gaming,OMG,3,"Ekko, Elise, Azir, Sivir, Karma","Maokai, Lee Sin, LeBlanc, Lucian, Nami",200,2016-06-16,200,
Game Talents,World Elite,1,"Fizz, Kindred, LeBlanc, Jhin, Trundle","Maokai, Hecarim, Azir, Sivir, Soraka",100,2016-06-17,100,
World Elite,Game Talents,2,"Maokai, Rek'Sai, Viktor, Ashe, Nami","Hecarim, Kassadin, Ezreal, Karma, Kassadin",100,2016-06-17,100,
Game Talents,World Elite,3,"Maokai, Kindred, LeBlanc, Jhin, Trundle","Ekko, Graves, Viktor, Ashe, Braum",100,2016-06-17,200,
LGD Gaming,Snake,1,"Rumble, Graves, Karma, Jhin, Braum","Ekko, Kindred, Twisted Fate, Sivir, Nami",100,2016-06-17,200,
Snake,LGD Gaming,2,"Ekko, Graves, Ryze, Ezreal, Braum","Trundle, Elise, Taliyah, Ashe, Karma",200,2016-06-17,100,
Newbee,Vici Gaming,1,"Maokai, Nidalee, Yasuo, Sivir, Bard","Trundle, Graves, Twisted Fate, Ashe, Braum",100,2016-06-18,200,
Vici Gaming,Newbee,2,"Fizz, Nidalee, Azir, Sivir, Bard","Trundle, Elise, Viktor, Ezreal, Braum",200,2016-06-18,100,
Invictus Gaming,RNGU,1,"Ekko, Elise, Varus, Lucian, Karma","Trundle, Graves, Azir, Sivir, Nami",200,2016-06-18,200,
RNGU,Invictus Gaming,2,"Swain, Rek'Sai, Azir, Ezreal, Thresh","Yasuo, Gragas, Taliyah, Lucian, Bard",100,2016-06-18,100,
Saint Gaming,I May,1,"Malphite, Kindred, Azir, Sivir, Nami","Irelia, Elise, Karma, Ezreal, Bard",200,2016-06-18,200,
I May,Saint Gaming,2,"Trundle, Elise, Twisted Fate, Jhin, Thresh","Maokai, Kindred, Azir, Ezreal, Nami",100,2016-06-18,100,
Game Talents,LGD Gaming,1,"Fizz, Kindred, Vladimir, Jhin, Trundle","Ryze, Rek'Sai, Twisted Fate, Braum, Twitch",100,2016-06-19,100,
LGD Gaming,Game Talents,2,"Fiora, Graves, Twisted Fate, Jhin, Braum","Maokai, Rek'Sai, Kassadin, Lucian, Trundle",200,2016-06-19,200,
World Elite,Snake,1,"Maokai, Elise, Swain, Ashe, Karma","Fizz, Graves, Viktor, Jhin, Nami",100,2016-06-19,100,
Snake,World Elite,2,"Maokai, Lee Sin, Ryze, Ezreal, Bard","Nautilus, Graves, Swain, Jhin, Karma",100,2016-06-19,100,
World Elite,Snake,3,"Nautilus, Lee Sin, Vladimir, Ashe, Nami","Maokai, Nidalee, Ryze, Ezreal, Karma",200,2016-06-19,100,
