team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
Legend Dragon,Star Horn Royal Club,1,"Swain, Kindred, Azir, Twitch, Nami","Maokai, Ezreal, Varus, Rek'Sai, Bard",100,2016-06-14,200,
Newbee Young,T.Bear Gaming,1,"Ryze, Nidalee, Jhin, Soraka, Varus","Irelia, Kindred, Karma, Ashe, Braum",100,2016-06-15,100,
2144Danmu Gaming,T.Bear Gaming,1,"Maokai, Nidalee, Vel'Koz, Lucian, Braum","Trundle, Rek'Sai, Kassadin, Sivir, Bard",200,2016-06-15,100,
Young Miracles,Legend Dragon,1,"Gnar, Hecarim, Lulu, Lucian, Braum","Trundle, Graves, Zilean, Sivir, Bard",100,2016-06-14,200,
Wan Yoo Dream,Newbee Young,1,"Irelia, Rek'Sai, Vladimir, Ezreal, Bard","Ryze, Kindred, Varus, Jhin, Zyra",200,2016-06-14,100,
IN Gaming,TCS Gaming,1,"Poppy, Graves, Lulu, Caitlyn, Thresh","Maokai, Rek'Sai, Azir, Sivir, Braum",100,2016-06-14,100,
2144 Gaming,Oh My Dream,1,"Maokai, Kindred, Azir, Ezreal, Braum","Ekko, Graves, Varus, Lucian, Braum",100,2016-06-15,100,
Wan Yoo Dream,Star Horn Royal Club,1,"Nautilus, Graves, Karma, Lucian, Braum","Maokai, Hecarim, Viktor, Nami, Jhin",200,2016-06-20,100,
 ZTR Gaming,2144 Gaming,1,"Maokai, Rek'Sai, Kassadin, Jhin, Karma","Fiora, Kindred, Azir, Ezreal, Karma",100,2016-06-20,100,
TCS Gaming,Newbee Young,1,"Ekko, Rek'Sai, Viktor, Caitlyn, Nami","Irelia, Kindred, LeBlanc, Ezreal, Karma",200,2016-06-20,200,
Wan Yoo Dream, ZTR Gaming,1,"Maokai, Rek'Sai, Swain, Lucian, Bard","Fizz, Graves, Anivia, Sivir, Braum",100,2016-06-20,200,
2144 Gaming,TCS Gaming,1,"Jax, Rek'Sai, Kassadin, Jhin, Braum","Poppy, Kindred, Twisted Fate, Lucian, Thresh",200,2016-06-20,100,
Legend Dragon,2144 Danmu Gaming,1,"Trundle, Gragas, Azir, Lucian, Karma","Gnar, Rek'Sai, Viktor, Sivir, Braum",100,2016-06-21,100,
Young Miracles,IN Gaming,1,"Swain, Elise, Azir, Jhin, Thresh","Irelia, Hecarim, Viktor, Lucian, Karma",200,2016-06-21,200,
Team KungFu,ZTR Gaming,1,"Trundle, Rek'Sai, Lissandra, Lucian, Bard","Maokai, Kindred, Viktor, Twitch, Karma",200,2016-06-21,100,
2144 Danmu Gaming,Young Miracles,1,"Maokai, Hecarim, Azir, Ezreal, Nami","Swain, Viktor, Graves, Lucian, Karma",100,2016-06-21,200,
IN Gaming,Star Horn Royal Club,1,"Irelia, Rek'Sai, Viktor, Ezreal, Karma","Trundle, Kha'Zix, Swain, Lucian, Nami",200,2016-06-21,100,
TCS Gaming,Team KungFu,1,"Poppy, Graves, Kassadin, Ashe, Bard","Maokai, Kindred, LeBlanc, Sivir, Nami",100,2016-06-21,100,
Star Horn Royal Club,T.Bear Gaming,1,"Maokai, Graves, Swain, Jhin, Nami","Trundle, Rek'Sai, Viktor, Sivir, Bard",100,2016-06-21,200,
Newbee Young,Young Miracles,1,"Fizz, Kindred, Viktor, Ezreal, Karma","Irelia, Nidalee, Lulu, Jinx, Braum",100,2016-06-22,200,
Oh My Dream,Legend Dragon,1,"Maokai, Varus, Karma, Ezreal, Graves","Hecarim, Azir, Rek'Sai, Twitch, Bard",200,2016-06-22,100,
T.Bear Gaming,Young Miracles,1,"Maokai, Gragas, Ryze, Karma, Sivir","Vladimir, Nidalee, Swain, Kalista, Alistar",200,2016-06-22,200,
Oh My Dream,Newbee Young,1,"Nautilus, Rek'Sai, Twisted Fate, Sivir, Karma","Fiora, Graves, LeBlanc, Jhin, Bard",100,2016-06-22,100,
IN Gaming,T.Bear Gaming,1,"Irelia, Gragas, Vladimir, Lucian, Karma","Trundle, Rek'Sai, Azir, Ezreal, Nami",100,2016-06-22,100,
,,,,,,,,
